property_id,block_id,seating_type,clue_small_area,trading_name,x_coordinate,y_coordinate,industry_anzsic4_description
105860,62,Seats - Outdoor,Melbourne (CBD),Melbourne Hwaro Korean BBQ Restaurant,144.9556694,-37.81501703,Cafes and Restaurants
106129,206,Seats - Outdoor,Carlton,La Parisienne Pates,144.9668266,-37.79954259,Cafes and Restaurants
511518,114,Seats - Indoor,Melbourne (CBD),CY Sushi & Noodle,144.9599508,-37.80794087,Cafes and Restaurants
106772,913,Seats - Indoor,Parkville,Parkville Store,144.9556719,-37.79525038,Cafes and Restaurants
578323,6,Seats - Indoor,Melbourne (CBD),Time Out Cafe,144.9699175,-37.81784465,Cafes and Restaurants
108456,915,Seats - Outdoor,Parkville,Naughtons Parkville Hotel,144.9575345,-37.79554181,"Pubs, Taverns and Bars"
109358,203,Seats - Indoor,Carlton,Bento King,144.9648999,-37.79668021,Cafes and Restaurants
107003,17,Seats - Outdoor,Melbourne (CBD),Bowery to Williamsburg,144.9702912,-37.8161284,Cafes and Restaurants
516122,84,Seats - Indoor,Melbourne (CBD),Cat Cafe Melbourne,144.9598681,-37.81123352,Cafes and Restaurants
108076,63,Seats - Indoor,Melbourne (CBD),The Deli Counter,144.9599073,-37.81386746,Cafes and Restaurants
102111,31,Seats - Indoor,Melbourne (CBD),Dumpling World ,144.9545688,-37.81861166,Cafes and Restaurants
103943,15,Seats - Indoor,Melbourne (CBD),RMB Cafe,144.9654844,-37.81710105,Cafes and Restaurants
623559,804,Seats - Outdoor,Southbank,Caffe Cino,144.9523782,-37.82539976,Cafes and Restaurants
105491,97,Seats - Indoor,Melbourne (CBD),Shanghai Street,144.9669433,-37.80829662,Cafes and Restaurants
566659,51,Seats - Outdoor,Melbourne (CBD),Hirize Bakery Cafe,144.9532987,-37.81625435,Cafes and Restaurants
108111,44,Seats - Indoor,Melbourne (CBD),Little Cupcakes,144.9612988,-37.81565401,Other Specialised Food Retailing
102714,216,Seats - Outdoor,Carlton,Markov,144.9692712,-37.79771074,Cafes and Restaurants
602858,1107,Seats - Outdoor,Docklands,Cafe La Kiss,144.9484725,-37.82183078,Cafes and Restaurants
106143,207,Seats - Outdoor,Carlton,Tiamo Coffee,144.9670898,-37.79822136,Cafes and Restaurants
101109,48,Seats - Indoor,Melbourne (CBD),Spleen Central,144.9720472,-37.81193572,"Pubs, Taverns and Bars"
110146,43,Seats - Outdoor,Melbourne (CBD),Cocoa Bean Cafe,144.9589392,-37.81595642,Cafes and Restaurants
105960,45,Seats - Indoor,Melbourne (CBD),Chuckle Park,144.9640121,-37.81488174,"Pubs, Taverns and Bars"
101113,48,Seats - Indoor,Melbourne (CBD),Club Asuka,144.9715659,-37.81212537,"Pubs, Taverns and Bars"
108973,1101,Seats - Indoor,Docklands,Red Rooster,144.9523393,-37.81815358,Takeaway Food Services
104466,240,Seats - Outdoor,Carlton,Baretto Cafe,144.9592807,-37.80023307,Cafes and Restaurants
105746,85,Seats - Indoor,Melbourne (CBD),Caffe Torre,144.9630189,-37.81073331,Cafes and Restaurants
